#Time	Channel A	Channel B
#(s)	(V)	(V)
#
-5.09435177	0.03668325	-3.75530300
-5.09101777	0.03668325	-3.75530300
-5.08768377	0.01831111	-3.75530300
-5.08434977	0.01831111	-3.80108000
-5.08101577	0.01831111	-3.75530300
-5.07768177	0.03668325	-3.75530300
-5.07434777	0.01831111	-3.75530300
-5.07101377	0.01831111	-3.75530300
-5.06767977	0.01831111	-3.75530300
-5.06434577	0.01831111	-3.80108000
-5.06101177	0.01831111	-3.75530300
-5.05767777	0.01831111	-3.75530300
-5.05434377	0.01831111	-3.75530300
-5.05100977	0.03668325	-3.75530300
-5.04767577	0.01831111	-3.80108000
-5.04434177	0.01831111	-3.75530300
-5.04100777	0.01831111	-3.75530300
-5.03767377	0.01831111	-3.75530300
-5.03433977	0.01831111	-3.75530300
-5.03100577	0.01831111	-3.75530300
-5.02767177	-0.00006104	-3.75530300
-5.02433777	0.01831111	-3.75530300
-5.02100377	0.01831111	-3.75530300
-5.01766977	0.01831111	-3.80108000
-5.01433577	0.01831111	-3.75530300
-5.01100177	0.01831111	-3.75530300
-5.00766777	0.01831111	-3.75530300
-5.00433377	0.03668325	-3.75530300
-5.00099977	0.01831111	-3.75530300
-4.99766577	0.01831111	-3.75530300
-4.99433177	0.01831111	-3.75530300
-4.99099777	0.01831111	-3.75530300
-4.98766377	0.01831111	-3.75530300
-4.98432977	0.01831111	-3.75530300
-4.98099577	0.01831111	-3.80108000
-4.97766177	0.01831111	-3.75530300
-4.97432777	0.01831111	-3.80108000
-4.97099377	0.01831111	-3.80108000
-4.96765977	-0.00006104	-3.75530300
-4.96432577	-0.00006104	-3.75530300
-4.96099177	0.01831111	-3.75530300
-4.95765777	0.01831111	-3.80108000
-4.95432377	0.01831111	-3.80108000
-4.95098977	-0.00006104	-3.75530300
-4.94765577	-0.00006104	-3.80108000
-4.94432177	-0.00006104	-3.75530300
-4.94098777	-0.00006104	-3.75530300
-4.93765377	-0.00006104	-3.75530300
-4.93431977	-0.00006104	-3.75530300
-4.93098577	-0.00006104	-3.75530300
-4.92765177	-0.00006104	-3.75530300
-4.92431777	-0.00006104	-3.75530300
-4.92098377	-0.00006104	-3.75530300
-4.91764977	-0.00006104	-3.80108000
-4.91431577	-0.00006104	-3.75530300
-4.91098177	-0.00006104	-3.75530300
-4.90764777	-0.00006104	-3.75530300
-4.90431377	-0.00006104	-3.75530300
-4.90097977	-0.00006104	-3.75530300
-4.89764577	-0.00006104	-3.75530300
-4.89431177	-0.00006104	-3.75530300
-4.89097777	-0.01843318	-3.80108000
-4.88764377	-0.00006104	-3.75530300
-4.88430977	-0.00006104	-3.75530300
-4.88097577	-0.00006104	-3.75530300
-4.87764177	-0.00006104	-3.75530300
-4.87430777	-0.00006104	-3.75530300
-4.87097377	-0.00006104	-3.75530300
-4.86763977	-0.00006104	-3.75530300
-4.86430577	-0.00006104	-3.75530300
-4.86097177	-0.00006104	-3.75530300
-4.85763777	-0.00006104	-3.75530300
-4.85430377	-0.00006104	-3.80108000
-4.85096977	-0.00006104	-3.75530300
-4.84763577	-0.00006104	-3.75530300
-4.84430177	-0.00006104	-3.75530300
-4.84096777	-0.00006104	-3.75530300
-4.83763377	-0.00006104	-3.75530300
-4.83429977	-0.00006104	-3.80108000
-4.83096577	-0.00006104	-3.80108000
-4.82763177	-0.00006104	-3.75530300
-4.82429777	-0.00006104	-3.80108000
-4.82096377	-0.00006104	-3.75530300
-4.81762977	-0.00006104	-3.75530300
